Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales,COGS,Profit,Date,Month_Number,Month_Name,Year,Profit_Margin_Pct,Gross_Margin_Pct,Discount_Pct,Unit_Profit,Unit_Cost,Markup_Pct,Contribution_Margin,Contribution_Margin_Pct,Quarter,Week,Day_of_Week,Is_Weekend,Fiscal_Year,Year_Month,Revenue_Category,Profit_Category,Discount_Tier,Sales_Per_Unit,COGS_Per_Unit,Discount_Per_Unit,Is_High_Margin,Is_Loss,Is_Heavy_Discount
Government,France,Paseo,Low,3945,10,7,27615.0,276.15,27338.85,19725.0,7613.8499999999985,2014-01-01,1,January,2014,27.85,27.85,1.0,1.93,5.0,-30.0,7613.8499999999985,27.85,1,1,Wednesday,0,2014,2014-01,Medium,Medium Profit,Low Discount,6.93,5.0,0.07,0,0,0
Midmarket,France,Paseo,Low,2296,10,15,34440.0,344.4,34095.6,22960.0,11135.6,2014-01-02,2,February,2014,32.66,32.66,1.0,4.85,10.0,50.0,11135.599999999999,32.66,1,1,Thursday,0,2014,2014-01,Medium,Medium Profit,Low Discount,14.85,10.0,0.15,1,0,0
Government,France,Paseo,Low,1030,10,7,7210.0,72.1,7137.9,5150.0,1987.9,2014-01-05,5,May,2014,27.85,27.85,1.0,1.93,5.0,-30.0,1987.8999999999996,27.85,1,1,Sunday,1,2015,2014-01,Small,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Government,France,Velo,Low,639,120,7,4473.0,44.73,4428.27,3195.0,1233.2700000000004,2014-01-11,11,November,2014,27.85,27.85,1.0,1.93,5.0,-94.17,1233.2700000000004,27.85,1,2,Saturday,1,2015,2014-01,Small,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Government,Canada,Vtt,Low,1326,250,7,9282.0,92.82,9189.18,6630.0,2559.1800000000003,2014-01-03,3,March,2014,27.85,27.85,1.0,1.93,5.0,-97.2,2559.1800000000003,27.85,1,1,Friday,0,2014,2014-01,Small,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Channel Partners,United States Of America,Carretera,Low,1858,3,12,22296.0,222.96,22073.04,5574.0,16499.04,2014-01-02,2,February,2014,74.75,74.75,1.0,8.88,3.0,300.0,16499.04,74.75,1,1,Thursday,0,2014,2014-01,Medium,Medium Profit,Low Discount,11.88,3.0,0.12,1,0,0
Government,Mexico,Carretera,Low,1210,3,350,423500.0,4235.0,419265.0,314600.0,104665.0,2014-01-03,3,March,2014,24.96,24.96,1.0,86.5,260.0,11566.67,104665.0,24.96,1,1,Friday,0,2014,2014-01,Enterprise,High Profit,Low Discount,346.5,260.0,3.5,0,0,0
Government,United States Of America,Carretera,Low,2529,3,7,17703.0,177.03,17525.97,12645.0,4880.970000000001,2014-01-07,7,July,2014,27.85,27.85,1.0,1.93,5.0,133.33,4880.970000000001,27.85,1,2,Tuesday,0,2015,2014-01,Medium,Low Profit,Low Discount,6.93,5.0,0.07,0,0,0
Channel Partners,Canada,Carretera,Low,1445,3,12,17340.0,173.4,17166.6,4335.0,12831.6,2014-01-09,9,September,2014,74.75,74.75,1.0,8.88,3.0,300.0,12831.599999999999,74.75,1,2,Thursday,0,2015,2014-01,Medium,Medium Profit,Low Discount,11.88,3.0,0.12,1,0,0
Enterprise,United States Of America,Carretera,Low,330,3,125,41250.0,412.5,40837.5,39600.0,1237.5,2013-01-09,9,September,2013,3.03,3.03,1.0,3.75,120.0,4066.67,1237.5,3.03,1,2,Wednesday,0,2014,2013-01,Medium,Low Profit,Low Discount,123.75,120.0,1.25,0,0,0
